1.2,0
3.173333333,0.000444216
5.146666667,0.001281819
7.12,0.002376815
9.093333333,0.003544534
11.06666667,0.005086776
13.04,0.006866255
15.01333333,0.009095019
16.98666667,0.011626947
18.96,0.014905771
20.93333333,0.018617461
22.90666667,0.022763738
24.88,0.027550902
26.85333333,0.032713454
28.82666667,0.038445068
30.8,0.044173818
32.77333333,0.050165699
34.74666667,0.056553991
36.72,0.063187247
38.69333333,0.070188008
40.66666667,0.07760312
42.64,0.084892816
44.61333333,0.092480217
46.58666667,0.100180705
48.56,0.108490977
50.53333333,0.116879226
52.50666667,0.125459151
54.48,0.134100226
56.45333333,0.142956009
58.42666667,0.15207568
60.4,0.161072823
